load_mw,timestamp,pca_abbrev,source
12190,2016011400,SG,Singapore EMA
12852,2016011401,SG,Singapore EMA
13175,2016011402,SG,Singapore EMA
13265,2016011403,SG,Singapore EMA
13012,2016011404,SG,Singapore EMA
13145,2016011405,SG,Singapore EMA
13218,2016011406,SG,Singapore EMA
13163,2016011407,SG,Singapore EMA
13115,2016011408,SG,Singapore EMA
12908,2016011409,SG,Singapore EMA
12428,2016011410,SG,Singapore EMA
12470,2016011411,SG,Singapore EMA
12416,2016011412,SG,Singapore EMA
12182,2016011413,SG,Singapore EMA
11672,2016011414,SG,Singapore EMA
11119,2016011415,SG,Singapore EMA
10581,2016011416,SG,Singapore EMA
10215,2016011417,SG,Singapore EMA
9961,2016011418,SG,Singapore EMA
9756,2016011419,SG,Singapore EMA
9682,2016011420,SG,Singapore EMA
9866,2016011421,SG,Singapore EMA
10510,2016011422,SG,Singapore EMA
11152,2016011423,SG,Singapore EMA
12175,2016011500,SG,Singapore EMA
12793,2016011501,SG,Singapore EMA
13122,2016011502,SG,Singapore EMA
13199,2016011503,SG,Singapore EMA
12985,2016011504,SG,Singapore EMA
13060,2016011505,SG,Singapore EMA
13133,2016011506,SG,Singapore EMA
13015,2016011507,SG,Singapore EMA
12857,2016011508,SG,Singapore EMA
12498,2016011509,SG,Singapore EMA
12140,2016011510,SG,Singapore EMA
12188,2016011511,SG,Singapore EMA
12110,2016011512,SG,Singapore EMA
11877,2016011513,SG,Singapore EMA
11401,2016011514,SG,Singapore EMA
10946,2016011515,SG,Singapore EMA
10468,2016011516,SG,Singapore EMA
10054,2016011517,SG,Singapore EMA
9769,2016011518,SG,Singapore EMA
9597,2016011519,SG,Singapore EMA
9513,2016011520,SG,Singapore EMA
9572,2016011521,SG,Singapore EMA
9836,2016011522,SG,Singapore EMA
10186,2016011523,SG,Singapore EMA
10971,2016011600,SG,Singapore EMA
11581,2016011601,SG,Singapore EMA
11943,2016011602,SG,Singapore EMA
12033,2016011603,SG,Singapore EMA
11812,2016011604,SG,Singapore EMA
11648,2016011605,SG,Singapore EMA
11530,2016011606,SG,Singapore EMA
11346,2016011607,SG,Singapore EMA
11173,2016011608,SG,Singapore EMA
11028,2016011609,SG,Singapore EMA
11042,2016011610,SG,Singapore EMA
11318,2016011611,SG,Singapore EMA
11372,2016011612,SG,Singapore EMA
11358,2016011613,SG,Singapore EMA
11011,2016011614,SG,Singapore EMA
10677,2016011615,SG,Singapore EMA
10253,2016011616,SG,Singapore EMA
9861,2016011617,SG,Singapore EMA
9524,2016011618,SG,Singapore EMA
9287,2016011619,SG,Singapore EMA
9283,2016011620,SG,Singapore EMA
9289,2016011621,SG,Singapore EMA
9471,2016011622,SG,Singapore EMA
9599,2016011623,SG,Singapore EMA
9997,2016011700,SG,Singapore EMA
10364,2016011701,SG,Singapore EMA
10793,2016011702,SG,Singapore EMA
10921,2016011703,SG,Singapore EMA
10854,2016011704,SG,Singapore EMA
10824,2016011705,SG,Singapore EMA
10742,2016011706,SG,Singapore EMA
10604,2016011707,SG,Singapore EMA
10537,2016011708,SG,Singapore EMA
10511,2016011709,SG,Singapore EMA
10672,2016011710,SG,Singapore EMA
11099,2016011711,SG,Singapore EMA
11281,2016011712,SG,Singapore EMA
11302,2016011713,SG,Singapore EMA
